Channel_0,Average_0,Time,Time_Average,Channel_1,Average_1,Channel_3,Average_3,Blink,Don't Use,Blink_Averaged
-2935.236171,#DIV/0!,23.565,#DIV/0!,-3500.707174,#DIV/0!,-2460.775633,#DIV/0!,0,#DIV/0!,
-2911.106336,#DIV/0!,23.578,#DIV/0!,-3478.585666,#DIV/0!,-2372.813186,#DIV/0!,0,#DIV/0!,
-2914.547044,#DIV/0!,23.578,#DIV/0!,-3478.649244,#DIV/0!,-2406.042197,#DIV/0!,0,#DIV/0!,
-2927.816209,#DIV/0!,23.61,#DIV/0!,-3499.72732,#DIV/0!,-2475.252786,#DIV/0!,0,#DIV/0!,
-2917.247252,#DIV/0!,23.61,#DIV/0!,-3481.356932,#DIV/0!,-2407.190346,#DIV/0!,0,#DIV/0!,
-2902.657902,#DIV/0!,23.611,#DIV/0!,-3471.917424,#DIV/0!,-2376.231455,#DIV/0!,0,#DIV/0!,
-2913.911261,#DIV/0!,23.611,#DIV/0!,-3487.78956,#DIV/0!,-2464.754886,#DIV/0!,0,#DIV/0!,
-2924.42412,#DIV/0!,23.612,#DIV/0!,-3495.523673,#DIV/0!,-2443.732909,#DIV/0!,0,#DIV/0!,
-2907.97604,#DIV/0!,23.612,#DIV/0!,-3487.639964,#DIV/0!,-2371.679996,#DIV/0!,0,#DIV/0!,
-2919.091023,#DIV/0!,23.613,#DIV/0!,-3481.873038,#DIV/0!,-2438.990716,#DIV/0!,0,#DIV/0!,
-2929.757217,#DIV/0!,23.613,#DIV/0!,-3492.976801,#DIV/0!,-2455.494894,#DIV/0!,0,#DIV/0!,
-2918.601096,#DIV/0!,23.623,#DIV/0!,-3487.441749,#DIV/0!,-2381.011047,#DIV/0!,0,#DIV/0!,
-2912.366683,#DIV/0!,23.623,#DIV/0!,-3487.452969,#DIV/0!,-2404.508838,#DIV/0!,0,#DIV/0!,
-2933.40362,#DIV/0!,23.638,#DIV/0!,-3496.858817,#DIV/0!,-2473.420235,#DIV/0!,0,#DIV/0!,
