Channel 1,Channel 2,Channel 3,Channel 4,Timestamp
-8.227183,-13.64328,-101.118324,-8.148086,388.0
-10.551539,-31.026918,-131.36237,-10.574489,389.0
-10.349542,-35.320976,-129.07463,-10.339654,390.0
-8.820248,-12.9199915,-109.13801,-8.832308,391.0
-10.100289,-3.2276473,-124.432,-10.106092,392.0
-11.033038,-24.17274,-136.84116,-11.001607,393.0
-9.416399,-34.473766,-116.91505,-9.428429,394.0
-8.771079,-10.1947365,-108.341515,-8.741034,395.0
-9.650639,7.853005,-119.757195,-9.588088,396.0
-8.868351,-11.4541235,-110.62526,-8.896812,397.0
-6.2496037,-28.864267,-77.60663,-6.3119392,398.0
-6.084426,-7.4636545,-75.27797,-6.0410614,399.0
-7.167938,17.494314,-89.34995,-7.0025144,400.0
-4.7243314,3.3777432,-59.444527,-4.6160374,401.0
-2.1279652,-20.93523,-27.83451,-2.1020796,402.0
-1.8851355,-5.5787053,-26.757212,-1.8637135,403.0
1.443494,28.253256,14.078045,1.3916292,404.0
8.178357,24.818943,100.11985,8.159818,405.0
12.356837,-1.8831912,152.5004,12.3702755,406.0
12.54748,5.3984046,153.39532,12.448777,407.0
11.594224,36.698116,141.51195,11.492866,408.0
10.102449,32.390903,122.3862,10.034619,409.0
5.8973956,-3.97978,68.78097,5.8294544,410.0
2.1501427,-8.972252,22.119385,2.129582,411.0
1.3762127,21.302923,12.937794,1.3766646,412.0
-1.245949,23.299969,-19.986385,-1.2645905,413.0
-4.834426,-10.447545,-63.991856,-4.7451077,414.0
-5.3216,-19.709114,-68.40128,-5.164708,415.0
-5.193427,7.5176263,-67.41534,-5.2511363,416.0
-7.2703247,16.253521,-93.46268,-7.325138,417.0
-9.315469,-11.054624,-117.37203,-9.185711,418.0
-9.1279955,-25.2061,-114.24123,-9.068754,419.0
-9.509296,-4.348456,-118.2792,-9.517198,420.0
-12.1327095,8.256182,-151.16342,-12.16188,421.0
-13.710776,-12.250021,-170.43745,-13.722833,422.0
-13.21143,-29.1861,-163.24272,-13.182399,423.0
-14.329264,-15.650178,-177.70665,-14.311709,424.0
-15.483765,0.54539543,-191.85732,-15.415174,425.0
-12.078151,-8.26716,-148.739,-12.094512,426.0
-7.529482,-21.886074,-91.26728,-7.5615015,427.0
-5.9945273,-11.651244,-72.1748,-5.909885,428.0
-4.7197003,7.0550857,-57.70367,-4.771427,429.0
-2.0580788,3.3387656,-23.65425,-2.0899532,430.0
-1.542145,-13.444588,-16.457277,-1.4024773,431.0
-2.5682826,-11.108664,-30.88412,-2.5039485,432.0
-1.737499,5.7323747,-20.323128,-1.7522299,433.0
-0.6889505,5.4548254,-5.9599667,-0.7097129,434.0
-1.673304,-10.501742,-18.961248,-1.6382098,435.0
-2.230282,-11.744472,-26.562572,-2.1224697,436.0
0.7594315,4.67911,11.540962,0.7881944,437.0
3.8482132,9.8538,50.217827,3.8133082,438.0
5.6314406,-0.13637753,71.837456,5.6457458,439.0
8.980511,0.16999142,113.76873,8.988517,440.0
10.984527,12.553105,138.86462,10.980426,441.0
10.538594,16.268421,132.83716,10.549243,442.0
10.592598,7.750653,133.15216,10.566637,443.0
12.721187,5.345789,159.65742,12.691159,444.0
16.465996,16.379393,206.23694,16.425253,445.0
19.711864,24.803507,246.11679,19.68251,446.0
23.717398,23.16931,294.75958,23.688751,447.0
27.545977,21.85952,341.8847,27.450401,448.0
26.612196,25.447687,330.72278,26.531092,449.0
22.110697,25.989649,273.42432,21.993402,450.0
17.709467,18.323355,217.89108,17.559813,451.0
13.882832,9.933372,170.45844,13.791229,452.0
9.274353,7.667012,111.568115,9.203811,453.0
6.3242683,9.0583935,74.75043,6.29525,454.0
7.077884,8.546789,85.02999,7.1151333,455.0
6.9092445,4.780522,82.88485,6.9796124,456.0
5.1000857,3.7993975,60.524208,5.086122,457.0
3.6757076,5.5273466,42.84538,3.5808454,458.0
0.5088461,2.1599796,3.8205795,0.44421837,459.0
-5.558346,-6.3278604,-71.63821,-5.5609093,460.0
-12.2484455,-13.090407,-154.99619,-12.13036,461.0
-16.607225,-15.668381,-208.2274,-16.465178,462.0
-21.002668,-19.84144,-262.96066,-20.962105,463.0
-26.657068,-26.588985,-333.56522,-26.597258,464.0
-29.508677,-29.654346,-367.7905,-29.407082,465.0
-30.614222,-30.16282,-381.18857,-30.56926,466.0
-32.090294,-31.448317,-400.27368,-32.0278,467.0
-32.38021,-31.874834,-403.8864,-32.266315,468.0
-30.538633,-29.977272,-379.4986,-30.413378,469.0
-27.728613,-27.269045,-343.17352,-27.559084,470.0
-25.41474,-25.176758,-314.07657,-25.290977,471.0
-20.506388,-19.93749,-251.76964,-20.516478,472.0
-12.756315,-11.832502,-154.49504,-12.843185,473.0
-7.178968,-6.7379274,-85.203735,-7.247039,474.0
-2.1783776,-2.2178757,-21.792564,-2.1495862,475.0
5.1756124,5.5573545,70.41967,5.198536,476.0
10.987156,11.936864,142.44829,10.932852,477.0
12.297676,12.711213,158.33217,12.200527,478.0
12.772054,12.172953,164.03366,12.662115,479.0
15.312942,15.055798,196.74628,15.299118,480.0
15.902071,16.679312,203.61256,15.907072,481.0
13.432743,13.877755,171.63327,13.368604,482.0
12.171066,11.444688,157.13055,12.164638,483.0
12.435824,11.800603,160.29755,12.43465,484.0
11.646721,12.12941,147.95242,11.55079,485.0
10.993528,11.462417,139.07967,10.951346,486.0
12.3478775,11.6167755,157.05211,12.412074,487.0
12.205092,11.242244,154.79306,12.232771,488.0
10.020084,10.224882,125.24873,9.950916,489.0
9.819043,10.456699,122.49511,9.735554,490.0
10.415738,9.922665,131.19292,10.38241,491.0
9.020799,7.9370246,112.70932,9.000661,492.0
7.4082556,7.4030147,90.55478,7.355846,493.0
8.553281,9.23631,104.03686,8.453221,494.0
9.575653,9.241558,116.6042,9.558306,495.0
7.3107343,6.2028956,87.5848,7.3974266,496.0
5.884714,5.657367,68.656975,5.8746686,497.0
5.8404465,6.478297,68.04522,5.8124614,498.0
3.5516243,3.5068066,39.86675,3.614312,499.0
0.7790623,-0.18439278,5.2598944,0.83669484,500.0
-0.110225454,-0.5247814,-6.247067,-0.08965001,501.0
-0.48981103,-0.003714401,-11.9997425,-0.56401855,502.0
-2.8796535,-2.859103,-42.26617,-2.9867911,503.0
-5.194919,-6.0121593,-70.51193,-5.1647468,504.0
-3.5467753,-3.9172993,-48.798412,-3.4332304,505.0
-1.6178526,-1.0502642,-24.679224,-1.6047058,506.0
-2.543097,-2.256802,-37.64163,-2.6658177,507.0
-3.1017272,-3.6974268,-44.070843,-3.156919,508.0
-2.759348,-3.149834,-38.328297,-2.7213113,509.0
-3.842784,-3.4035378,-52.65212,-3.8798966,510.0
-4.4937124,-4.1033425,-60.83293,-4.516214,511.0
-1.6695832,-1.96192,-24.079279,-1.6590555,512.0
